Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,BATT,JST_S2B-PH-SM4-TB,100.0,-51.0,0.0,top
C1,10nF X7R,C_0603_1608Metric,93.775,-101.0,0.0,top
C2,100nF X7R,C_0603_1608Metric,107.0,-100.0,0.0,top
C3,100nF X7R,C_0603_1608Metric,109.0,-84.0,90.0,top
C4,10nF X7R,C_0603_1608Metric,90.4669,-79.986,90.0,top
C5,10uF X7R,C_0603_1608Metric,93.0,-80.0,90.0,top
C6,100nF X7R,C_0603_1608Metric,108.0,-89.0,90.0,top
C7,3.3uF/25v,C_0603_1608Metric,110.0439,-89.0291,90.0,top
C8,1uF X7R,C_0603_1608Metric,109.0,-95.0,0.0,top
C9,1uF X7R,C_0603_1608Metric,107.0343,-102.3996,0.0,top
D1,D,Diode_TH_SMD,108.0,-73.0,-90.0,top
D2,D,Diode_TH_SMD,100.775,-105.0,0.0,top
D3,D,Diode_TH_SMD,108.0,-137.0,-90.0,top
R1,2M,C_0603_1608Metric,90.5476,-85.8988,90.0,top
SW1,SW_PUSH,MX_Choc_v1v2_Hotswap_1u,98.895,-69.515,0.0,top
SW2,SW_PUSH,MX_Choc_v1v2_Hotswap_1u,98.975,-114.065,0.0,top
SW21,SW_SPDT,TGSW_MSK-12D19,99.7499,-161.2972,180.0,top
SW3,SW_PUSH,MX_Choc_v1v2_Hotswap_1u,98.9392,-133.2623,0.0,top
SW4,RotaryEncoder,RotaryEncoder_EC12E,99.7566,-152.2932,0.0,top
U2,MCP1700x-180xxTT,SOT-23,99.9375,-101.05,0.0,top
pmw3610,~,PMW3610DM-SUDU,99.65,-89.115,270.0,bottom
